date,dataset_name,region_id,region_name,ntl_sum,light_density,density_3m_smooth,mom_pct,yoy_pct,mom_3m_avg,vol_12m,trend_score,trend_label,months_seen,rankable
2026-01-01,metros,42780,"Selinsgrove, PA",18244.850396692756,21.245108111300127,11.42567759312025,0.9233468470684876,1.0,0.4441550695486405,0.31787826633010385,5.254268063922576,Very strong,49,True
2026-01-01,metros,21820,"Fairbanks-College, AK",260058.28089791536,13.504979148393026,9.31930503505899,0.5126305135652807,1.0,0.46136081662676043,0.3395009715404315,4.261325232383876,Very strong,37,True
2026-01-01,metros,15340,"Bucyrus, OH",26825.551582217216,25.71927615927485,13.402666895726085,0.8900240491837935,0.44228228440047435,0.3143064119295684,0.2814121508788884,3.691378923923631,Very strong,49,True
2026-01-01,metros,11260,"Anchorage, AK",420654.4312166572,6.083142147209171,5.849140933983475,0.2188488192179633,1.0,0.4212340068086226,0.3030293447946507,3.435748938061093,Very strong,40,True
2026-01-01,metros,17740,"Coldwater, MI",71715.35259205103,53.28655968944464,75.11720424837205,0.2688766828181401,0.8257916947040073,0.5328991742987302,0.42246001251825166,3.4340775999396342,Very strong,49,True
2026-01-01,metros,35940,"Norwalk, OH",39198.82147079706,30.540134364152284,16.5492113195484,0.7483144597544306,0.4958539644509848,0.27545356333815185,0.23580121526341374,3.3649209236795734,Very strong,49,True
2026-01-01,metros,31900,"Mansfield, OH",79308.10904276371,61.22867870306232,33.40373407497858,0.7832890143696043,0.36977004906674144,0.30007225263832066,0.24778855459478039,3.2370003084157486,Very strong,49,True
2026-01-01,metros,14710,"Brattleboro, VT",9674.75201550126,4.676178222271218,3.1501630351889403,0.6757351115432754,0.04544994293913301,0.6757351115432754,0.40409936540339747,3.099254238693711,Very strong,49,True
2026-01-01,metros,23380,"Fremont, OH",43558.95935755968,40.85858628397734,23.746210761203702,0.6552986499590169,0.480092330504174,0.27186393474823656,0.206775311719608,3.089846822867226,Very strong,49,True
2026-01-01,metros,22420,"Flint, MI",212744.56047433612,126.4487878855251,70.26069632991442,0.7273604185952736,0.35922001280545607,0.2743344301018635,0.22883121753177116,3.0174422523994164,Very strong,49,True
2026-01-01,metros,33910,"Monticello, NY",45281.6978879422,17.54115153029785,13.977302999326321,0.45268484928871566,0.4083844692863767,0.4540219153316312,0.35911308106594075,2.828542150228192,Very strong,49,True
2026-01-01,metros,30150,"Lebanon-Claremont, NH-VT",53150.04131178558,5.169367378458904,3.6231076358575387,0.595399292621577,0.09190589671830614,0.595399292621577,0.3540432834133088,2.820353148630222,Very strong,49,True
2026-01-01,metros,29060,"Laconia, NH",18124.29513375461,14.891535483112564,10.326248133455698,0.5094262130159389,0.3719329113825454,0.36866538675674215,0.25970161889989407,2.7051836338337427,Very strong,49,True
2026-01-01,metros,20700,"East Stroudsburg, PA",55637.9329469204,34.813994789737826,25.901206960235267,0.442931197442989,0.4198131285662503,0.387908619498349,0.24970928039743023,2.6831007775790283,Very strong,49,True
2026-01-01,metros,35580,"New Ulm, MN",12557.507928729055,7.841824308075989,7.01906705862621,0.2930351695516767,0.6653264888054388,0.3197278855836528,0.2186007512168291,2.682386825506494,Very strong,49,True
2026-01-01,metros,22300,"Findlay, OH",54595.235343813896,39.50283078049159,25.485754686046217,0.5132288620334641,0.455653745878666,0.2574696041743218,0.17666845700441913,2.6493237238014027,Very strong,49,True
2026-01-01,metros,25770,"Hemlock Farms, PA",11017.079662144184,7.50359871299326,6.336641074916382,0.3604324832893416,0.4424279540054438,0.44341219950239075,0.33322476867855594,2.646537135912044,Very strong,49,True
2026-01-01,metros,45660,"Tiffin, OH",30347.33725225925,21.19732140017522,12.628458596932065,0.5881694719925239,0.38399212456789517,0.24042080459454887,0.2002001624891858,2.6465319695385974,Very strong,49,True
2026-01-01,metros,28300,"Keene, NH",17903.87331573665,9.482890168086987,6.256786365653944,0.5974123518653787,0.18455154515079372,0.4219532876140148,0.32208485205225723,2.642177918846671,Very strong,49,True
2026-01-01,metros,15940,"Canton-Massillon, OH",230939.0316720605,91.03875954878362,57.52435183297845,0.5801254698443301,0.31247065683180014,0.29856077602393016,0.21164667261268538,2.601155532506651,Very strong,49,True
