date,dataset_name,region_id,region_name,ntl_sum,light_density,density_3m_smooth,mom_pct_display,yoy_pct_display,mom_pct_rank,yoy_pct_rank,mom_capped,yoy_capped,mom_3m_avg,vol_12m,trend_score,trend_label,months_seen,rankable
2026-01-01,counties,50009,"Essex, Vermont",3042.796990573406,1.74395555514107,1.3436060804563918,0.7003432429033671,0.7536692294355299,0.5,0.5,True,True,0.5,0.3945668849609039,2.4799101784995354,Very strong,49,True
2026-01-01,counties,23007,"Franklin, Maine",11321.778629889712,2.50790044936313,2.0530132472124865,0.5562869711707878,0.690055134124595,0.5,0.5,True,True,0.5,0.38315038617976177,2.4799101784995354,Very strong,49,True
2026-01-01,counties,27071,"Koochiching, Minnesota",13867.107601448894,1.6969609638981755,1.3560001961097459,0.511144672777871,0.6757227280755087,0.5,0.5,True,True,0.5,0.3962796354071449,2.4799101784995354,Very strong,49,True
2026-01-01,counties,31163,"Sherman, Nebraska",2433.099923849106,1.6433182792298753,1.1040937508272912,0.7204440857150624,1.9062404118085554,0.5,0.5,True,True,0.5,0.3997054435975242,2.4799101784995354,Very strong,49,True
2026-01-01,counties,26131,"Ontonagon, Michigan",5352.68927304633,1.5565750949001609,1.0759707967056995,0.8020501949502444,0.796963456296702,0.5,0.5,True,True,0.455119172357437,0.40134364812411044,2.4039080672609057,Very strong,49,True
2026-01-01,counties,27101,"Murray, Minnesota",5767.7899166196585,3.0944564681642848,2.1821802870338654,0.6529434042951757,0.47653636659585935,0.5,0.47653636659585935,True,False,0.47573407938792567,0.404630688422771,2.393837476863939,Very strong,49,True
2026-01-01,counties,27031,"Cook, Minnesota",4947.651670098305,1.1892772862059329,0.7362270441690798,0.9472349075629165,1.6310376778129705,0.5,0.5,True,True,0.4425260139528106,0.3807699881104312,2.3825825553176627,Very strong,49,True
2026-01-01,counties,31077,"Greeley, Nebraska",2136.8096648156643,1.445880119727507,1.0329547988783527,0.587988977882666,1.6103468601292423,0.5,0.5,True,True,0.4273289485949599,0.39166415597760795,2.3568475340959787,Very strong,49,True
2026-01-01,counties,26061,"Houghton, Michigan",13435.19937756844,4.98187351267401,3.8768331587347,0.47723619824425184,0.7119019497589079,0.47723619824425184,0.5,False,True,0.44471327784111914,0.30809145246920266,2.34685288003047,Very strong,49,True
2026-01-01,counties,42113,"Sullivan, Pennsylvania",3023.4229904711246,2.5798231157756537,2.348390545706207,0.4387233389551644,1.0880327376096275,0.4387233389551644,0.5,False,True,0.4795744463183882,0.39865558738375884,2.3391718404613284,Very strong,49,True
2026-01-01,counties,31041,"Custer, Nebraska",10652.839410185814,1.5967237367535076,0.8955879443155307,1.0211891248327358,0.902809048773377,0.5,0.5,True,True,0.3987702974447472,0.3534945449545629,2.3084857302801045,Very strong,49,True
2026-01-01,counties,26003,"Alger, Michigan",9868.686873071829,4.064709034829828,2.3598420851613415,1.0365337752671544,1.053766062161229,0.5,0.5,True,True,0.3952803200693436,0.320715368536035,2.3025757312306623,Very strong,49,True
2026-01-01,counties,31093,"Howard, Nebraska",4841.151411861181,3.247510641227577,2.183462808582306,0.6288891633384286,1.512533277081665,0.5,0.5,True,True,0.36754404744091246,0.3717305715958327,2.255606560019304,Very strong,49,True
2026-01-01,counties,31121,"Merrick, Nebraska",5573.218206346035,4.331083955598767,3.1020634041769894,0.496130022485421,0.98124814479128,0.496130022485421,0.5,False,True,0.3650374301157242,0.3351885099285672,2.244657858125635,Very strong,49,True
2026-01-01,counties,31011,"Boone, Nebraska",4920.734799742699,2.764569169466013,1.8752675425578762,0.5575885343507738,0.9095289825324379,0.5,0.5,True,True,0.34945486641953977,0.3529290003040863,2.224973970995962,Very strong,49,True
2026-01-01,counties,31113,"Logan, Nebraska",750.4611874222755,0.5072459534258916,0.22485039077364877,2.234108868869437,2.256455171667579,0.5,0.5,True,True,0.32794066369075503,0.36106503053335504,2.1885413801795472,Very strong,49,True
2026-01-01,counties,31125,"Nance, Nebraska",2618.150765672326,2.255266303271145,1.4392539556930009,0.6216722847650412,0.873128953097196,0.5,0.5,True,True,0.327141202944311,0.3539164595873844,2.1871875570044033,Very strong,49,True
2026-01-01,counties,31117,"McPherson, Nebraska",92.45826303958891,0.0414806197655198,0.029472097229956085,0.6633997226775876,1.600332810305781,0.5,0.5,True,True,0.3248104732398784,0.3722798262510048,2.1832406516649066,Very strong,49,True
2026-01-01,counties,31175,"Valley, Nebraska",3641.687207043171,2.4647281064307185,1.7114631873938084,0.5069155765422703,0.7688789999837705,0.5,0.5,True,True,0.32461477849979653,0.34975823629233027,2.1829092581905485,Very strong,49,True
2026-01-01,counties,41025,"Harney, Oregon",9433.761876430362,0.3561350134559266,0.15345958104514082,2.400924504405664,1.4641418008070297,0.5,0.5,True,True,0.3229140079139004,0.3835546622934814,2.180029138503583,Very strong,49,True
