date,avg_density,avg_yoy,avg_mom,index_level,dataset_name
2022-01-01,236.5172900979425,,,100.0,cities
2022-02-01,239.5045909109081,,0.013902689781686552,101.39026897816865,cities
2022-03-01,230.7401456497876,,-0.022193226154434427,99.14009180887722,cities
2022-04-01,222.48569229596305,,-0.027882506021274924,96.37581760206645,cities
2022-05-01,209.30550876877194,,-0.04294277397451539,92.23717265017179,cities
2022-06-01,205.31033252424328,,-0.016072193768333805,90.75471893869496,cities
2022-07-01,203.0946451194317,,-0.009324984155268955,89.90843262257575,cities
2022-08-01,201.95845242235347,,-0.004574335232313004,89.49716131154825,cities
2022-09-01,200.77448597463533,,-0.008428289074651582,88.74285336465381,cities
2022-10-01,198.38325857955888,,-0.0054524418760400215,88.2589881147691,cities
2022-11-01,202.49081797068658,,0.01576849224543425,89.6506992844467,cities
2022-12-01,213.91511971623748,,0.054530077315552865,94.53935884782095,cities
2023-01-01,222.20445537306995,-0.024181294224248275,0.03179731932574628,97.54545702995644,cities
2023-02-01,225.82060607530317,-0.02020807542189414,0.019315236376726795,99.42957058996589,cities
2023-03-01,223.8332923087598,-0.010886848357235034,-0.008878841864527488,98.54675115603972,cities
2023-04-01,220.32595141931432,0.010104876307767054,-0.004135685364744756,98.13919279954054,cities
2023-05-01,214.76050243262978,0.03541397045578331,-0.01876990562785136,96.29712941229965,cities
2023-06-01,207.51523737045383,0.025028661747992797,-0.025172128479055308,93.87312569856904,cities
2023-07-01,205.0190420750127,0.022388694686515723,-0.011620624437762668,92.78226136002708,cities
2023-08-01,204.74049576413066,0.023567475391949467,-0.0032659166768837294,92.47924222533238,cities
2023-09-01,204.54719897376964,0.03109256135450887,-0.0015257485922581054,92.33814215169399,cities
2023-10-01,203.50323163755934,0.03125879488162615,-0.005130490030389426,91.86440223396004,cities
2023-11-01,204.9207946144987,0.02430587124012379,0.007978614307538174,92.59735286797735,cities
2023-12-01,209.72676226563723,-0.006201464368691461,0.019752765064954304,94.42640662481517,cities
2024-01-01,219.99959841271274,0.004598010103599991,0.04143151799483125,98.33863599007846,cities
2024-02-01,229.64173038218868,0.016525883925141142,0.028751923557225466,101.16606093478703,cities
2024-03-01,231.1107657946511,0.034606253379505805,0.009385740907285096,102.11557937133155,cities
2024-04-01,226.25110707774473,0.025150034947016876,-0.011241620217149684,100.96763480978484,cities
2024-05-01,213.64361682649974,-0.00031151036274384584,-0.04127797012603638,96.79989579640998,cities
2024-06-01,206.17631485109234,-0.008084658777654661,-0.03286236102073876,93.61882267397846,cities
2024-07-01,204.56678958995323,-0.014341478326495962,-0.01798406575594339,91.93517561101562,cities
2024-08-01,210.06393945772336,0.011753241523531834,0.02322744458598953,94.0705948080237,cities
2024-09-01,213.31273210762697,0.027581356262052305,0.013903675899555018,95.37852186991282,cities
2024-10-01,212.3836084315488,0.03649359343243502,0.004462563401776465,95.80415457092504,cities
2024-11-01,214.43893760683693,0.03865733341178625,0.01062099547088085,96.82169006271441,cities
2024-12-01,224.53570412798376,0.062972428672322,0.04416233587428267,101.0975620591797,cities
2025-01-01,242.29138727460148,0.10368197035352106,0.0769443265130984,108.87644588393945,cities
2025-02-01,250.54909504181117,0.10772735338532753,0.032011933206225696,112.36179139730736,cities
2025-03-01,247.0986309004883,0.090312461176123,-0.004329945959939614,111.87527091259501,cities
2025-04-01,237.7060558896095,0.059650632909037105,-0.03432167273525105,108.03552447716537,cities
2025-05-01,230.48647779878334,0.07935238905998337,-0.020843814905455775,105.7836520017495,cities
2025-06-01,230.9316936204043,0.10618653831270357,-0.008875360974146106,104.84478390507053,cities
2025-07-01,226.87647262734276,0.10981860826872981,-0.014134739761023116,103.36283016927166,cities
2025-08-01,224.07914589524665,0.07170526798708876,-0.012159079694772073,102.1060332797663,cities
2025-09-01,219.47480292780202,0.04438941948062742,-0.012331873826695136,100.84687456041588,cities
2025-10-01,218.50601830838207,0.03436507000374224,-0.0050841058639500775,100.33415837410224,cities
2025-11-01,221.94214799475137,0.030043343233044282,0.006100467926157401,100.94624368916145,cities
2025-12-01,235.92341716638393,0.04173055562030189,0.057325947029461755,106.73308270770946,cities
2026-01-01,251.76522789214835,0.030068796360362065,0.06302639049331323,113.46008365700065,cities
