date,region_id,region_name,ntl_sum,area_km2,light_density,density_3m_smooth,lag_1,lag_3,lag_12,lag_1_safe,lag_12_safe,mom_pct,yoy_pct,mom_3m_avg,yoy_3m_avg,vol_12m,months_seen,mom_pct_z,yoy_pct_z,mom_3m_avg_z,trend_score
2022-01-01,ATL,Atlanta,763883.330349803,10179.988816456857,75.03773767559723,75.03773767559723,,,,,,,,,,,1,,,,0.0
2022-02-01,ATL,Atlanta,828619.705648005,10179.988816456857,81.39691708781328,78.21732738170525,75.03773767559723,,,75.03773767559723,,0.04237320852947359,,0.04237320852947359,,,2,0.6955316844549333,,0.9330901091088624,0.3952775271582525
2022-03-01,ATL,Atlanta,835500.9699355364,10179.988816456857,82.07287699421389,79.5025105858748,78.21732738170525,,,78.21732738170525,,0.016430927100050157,,0.029402067814761873,,,3,0.2452948723082744,,0.6448720651487136,0.20256287472222506
2022-04-01,ATL,Atlanta,794192.0571801066,10179.988816456857,78.01502256036125,80.49493888079614,79.5025105858748,75.03773767559723,,79.5025105858748,,0.01248298057014647,,0.02376237206655674,,,4,0.17677696400537285,,0.5195583311581117,0.1569447554332342
2022-05-01,ATL,Atlanta,763207.9697700739,10179.988816456857,74.97139569900907,78.3530984178614,80.49493888079614,78.21732738170525,,80.49493888079614,,-0.026608386722382138,,0.0007685069826048295,,,5,-0.5016665506918391,,0.008635894701645616,-0.1487727862672226
2022-06-01,ATL,Atlanta,744808.8813022375,10179.988816456857,73.16401763606929,75.38347863181319,78.3530984178614,79.5025105858748,,78.3530984178614,,-0.03790047676495276,,-0.017341960972396143,,,6,-0.6976444810474047,,-0.39377772211103285,-0.288048888736428
2022-07-01,ATL,Atlanta,754291.9752163291,10179.988816456857,74.09556030129907,74.0769912121258,75.38347863181319,80.49493888079614,,75.38347863181319,,-0.01733121691118171,,-0.027280026799505534,,0.03048787165656111,7,-0.3406582225345212,,-0.6146010063876405,-0.22511766803788447
2022-08-01,ATL,Atlanta,738417.2873108983,10179.988816456857,72.5361589903892,73.26524564258585,74.0769912121258,78.3530984178614,,74.0769912121258,,-0.010958133642542911,,-0.022063275772892462,,0.028047843712599226,8,-0.23005126985677007,,-0.49868508119748395,-0.16875239719652782
2022-09-01,ATL,Atlanta,726557.8713335991,10179.988816456857,71.37118561064172,72.66763496744333,73.26524564258585,75.38347863181319,,73.26524564258585,,-0.008156809820277932,,-0.01214872012466752,,0.02602938882771173,9,-0.1814333751292627,,-0.27838419182200813,-0.11010685090318043
2022-10-01,ATL,Atlanta,753063.3749625087,10179.988816456857,73.97487252099089,72.6274057073406,72.66763496744333,74.0769912121258,,72.66763496744333,,-0.0005536062942017813,,-0.006556183252340875,,0.024370963615828252,10,-0.04947728148361436,,-0.1541183254985607,-0.04566684954479645
2022-11-01,ATL,Atlanta,764299.3948358893,10179.988816456857,75.07860849516176,73.47488887559813,72.6274057073406,73.26524564258585,,72.6274057073406,,0.011668916988065688,,0.0009861669578619919,,0.023463392031264966,11,0.162648623247145,,0.013472287559976268,0.05148904448613875
