date,dataset_name,region_id,region_name,ntl_sum,area_km2,light_density,density_3m_smooth,lag_1,lag_12,lag_1_safe,lag_12_safe,mom_pct,yoy_pct,mom_3m_avg,vol_12m,months_seen,mom_pct_z,yoy_pct_z,mom_3m_avg_z,trend_score,trend_label
2022-01-01,states,01,Alabama,909564.5349038914,133892.7559227516,6.793231856611106,6.793231856611106,,,,,,,,,1,,,,0.0,Stable
2022-02-01,states,01,Alabama,952880.5891774,133892.7559227516,7.116744909837819,6.954988383224462,6.793231856611106,,6.793231856611106,,0.02381142437467907,,0.02381142437467907,,2,0.21233918284949366,,0.30961959300499564,0.12562567345584724,Stable
2022-03-01,states,01,Alabama,1044496.2599523776,133892.7559227516,7.800991567870869,7.236989444773265,6.954988383224462,,6.954988383224462,,0.040546589873391235,,0.03217900712403515,,3,0.38561282805265773,,0.4179560009652451,0.19927504860884634,Stable
2022-04-01,states,01,Alabama,1026431.3175648692,133892.7559227516,7.666070583811577,7.5279356871734215,7.236989444773265,,7.236989444773265,,0.040202662256234936,,0.034853558834768414,,4,0.3820518479168296,,0.45258384199461277,0.20513232277397142,Stable
2022-05-01,states,01,Alabama,961961.8411600888,133892.7559227516,7.18456972918748,7.550543960289975,7.5279356871734215,,7.5279356871734215,,0.0030032500350759845,,0.027917500721567384,,5,-0.003105846249467202,,0.36278160831540945,0.07162456778824172,Stable
2022-06-01,states,01,Alabama,1054403.17974554,133892.7559227516,7.874983022635444,7.575207778544834,7.550543960289975,,7.550543960289975,,0.0032664955511247243,,0.015490802614145214,,6,-0.0003802377006504411,,0.20189119634211317,0.0402641679582275,Stable
2022-07-01,states,01,Alabama,911846.9394763708,133892.7559227516,6.81027836937238,7.289943707065102,7.575207778544834,,7.575207778544834,,-0.03765759036837009,,-0.010462614927389794,0.029572522154433414,7,-0.4241027007037222,,-0.1341317764762676,-0.15405716550637016,Stable
2022-08-01,states,01,Alabama,841582.9849860296,133892.7559227516,6.28550050513244,6.990253965713421,7.289943707065102,,7.289943707065102,,-0.04111002133819413,,-0.025167038718479834,0.03368535997554714,8,-0.4598487050679898,,-0.324512260586152,-0.20285706363762734,Stable
2022-09-01,states,01,Alabama,902780.1591637732,133892.7559227516,6.742561634063498,6.612780169522772,6.990253965713421,,6.990253965713421,,-0.054000011736644364,,-0.044255874481069525,0.03743742888664362,9,-0.593309926180212,,-0.571658415050087,-0.29232466086408104,Stable
2022-10-01,states,01,Alabama,938712.3359875084,133892.7559227516,7.0109269879327245,6.67966304237622,6.612780169522772,,6.612780169522772,,0.010114183617005904,,-0.02833194981927753,0.0352807451992886,10,0.0705198004543797,,-0.36548886164818833,-0.05194183219332377,Stable
2022-11-01,states,01,Alabama,985125.1050771922,133892.7559227516,7.357568363486018,7.0370189951607465,6.67966304237622,,6.67966304237622,,0.053499098759538684,,0.003204423546633408,0.037508285569497715,11,0.5197213571497767,,0.04281751701523008,0.16447991054797903,Stable
2022-12-01,states,01,Alabama,1148422.74044694,133892.7559227516,8.577183526713826,7.6485596260441895,7.0370189951607465,,7.0370189951607465,,0.08690336509024495,,0.05017221582226319,0.04345659610916701,12,0.8655846229121748,,0.6509168997618717,0.3898587668260268,Stable
