date,avg_density,avg_yoy,avg_mom,total_ntl,total_ntl_lag_12,national_yoy_pct,index_level,dataset_name
2022-01-01,15.337771236774179,,,59573770.685758255,,,100.0,counties
2022-02-01,15.067674422859007,,0.03001652130369423,59851707.20496047,,,103.00165213036942,counties
2022-03-01,14.423658692348354,,-0.022664534833644442,53586061.35645915,,,100.66716759773774,counties
2022-04-01,13.539077688757509,,-0.0035357861713963294,52652282.73817069,,,100.31123001863202,counties
2022-05-01,12.732761608538558,,-0.018490263269155347,51516733.70459591,,,98.45644896673471,counties
2022-06-01,12.554469147163175,,0.06392175275823259,52550200.44490822,,,104.74995775503987,counties
2022-07-01,12.40689007612396,,-0.0044663243695458365,50739337.13512482,,,104.28211046600964,counties
2022-08-01,12.09565351991201,,-0.061335413761572324,47106480.5810799,,,97.88592407264694,counties
2022-09-01,11.691043927328336,,-0.10198203983511385,46909301.1055259,,,87.90331786457332,counties
2022-10-01,11.545836415180744,,-0.05246480231430968,48494348.43197801,,,83.29148767003656,counties
2022-11-01,12.001319814576734,,0.16015619910020293,53312412.78071319,,,96.63113575267103,counties
2022-12-01,13.446945935665763,,0.2839865669529825,64133634.798810415,,,124.07308025583967,counties
2023-01-01,14.255090527092884,0.295493903389761,0.14232402047287027,59782399.711012036,59573770.685758255,0.0035020282055716035,141.73165987030387,counties
2023-02-01,14.652402424870601,0.3187980895269606,0.04605098793699674,58903134.50679953,59851707.20496047,-0.015848715808766924,148.25854282928177,counties
2023-03-01,14.06223411395034,0.25119648427069735,-0.06529260355195958,58239837.4089349,53586061.35645915,0.08684676452554381,138.57835656913826,counties
2023-04-01,13.63829615623635,0.17959367810844676,-0.056533090551291215,54109223.213713855,52652282.73817069,0.02767098404428614,130.74409378876607,counties
2023-05-01,13.341588225125317,0.18757400774960337,0.009235664090902982,55455734.01167898,51516733.70459591,0.07646059879630265,131.95160232086863,counties
2023-06-01,13.153243527603356,0.20230613648709722,0.10547952099358143,57295802.83284547,52550200.44490822,0.09030607586192517,145.8697941280094,counties
2023-07-01,13.127767512162547,0.25247029550973266,0.04207337250454481,54285332.95866403,50739337.13512482,0.06988652244501754,152.0070283135184,counties
2023-08-01,12.944464813494223,0.3108968824767474,-0.027647824958839832,52432649.92720012,47106480.5810799,0.11306659466849354,147.8043646021928,counties
2023-09-01,12.489930155813488,0.2460997741374567,-0.13068326407234684,50651021.63690963,46909301.1055259,0.07976500274362325,128.488807791839,counties
2023-10-01,12.321175696954027,0.20857661822027881,-0.06071338472869336,51781009.82127514,48494348.43197801,0.06777411173813909,120.68781737104196,counties
2023-11-01,12.669889423787575,0.2713583881940001,0.2304559882993847,58724061.87592267,53312412.78071319,0.10150823819339966,148.50104759898107,counties
2023-12-01,13.231475737190545,0.08750271957728958,0.09569538614008903,57410433.76569674,64133634.798810415,-0.10483112417071952,162.71191269117332,counties
