date,dataset_name,region_id,region_name,ntl_sum,light_density,density_3m_smooth,mom_pct,yoy_pct,mom_3m_avg,yoy_3m_avg,vol_12m,trend_score,trend_label,months_seen,rankable
2026-01-01,states,KY,Kentucky,1794041.895097301,8.017133375345576,9.125549733268771,-0.018588772013193245,-0.08048772298383043,0.05434881231794244,0.014673736124456724,0.0988581177414123,-0.316997859830898,Stable,49,True
2026-01-01,states,CO,Colorado,957851.3606348746,3.42466728305443,3.2909982810206397,0.0658516041424513,-0.17060478976073928,0.06079236392150098,-0.10021299205165625,0.18504506705875517,-0.2763184786963907,Stable,49,True
2026-01-01,states,AZ,Arizona,1354090.8900300264,3.804277931077797,3.7342587371180245,0.0066924319829337955,-0.01659384801578113,-0.0012834524640741149,-0.005334601938868438,0.09115102090711903,-0.21501440696287863,Stable,49,True
2026-01-01,states,CA,California,5541207.368003901,5.53217618766421,5.543042424189245,0.0028746811647095793,0.017544104355055986,0.0092088831185237,0.03219167440190688,0.09405088250374359,-0.10468123902167734,Stable,49,True
2026-01-01,states,MO,Missouri,2478805.428781422,7.940494146337588,7.705441032633498,0.04756568779961483,-0.06695399453299078,0.04499527815732259,-0.021139202853568212,0.106909360105259,-0.0944585558046544,Stable,49,True
2026-01-01,states,TN,Tennessee,2056497.4215330053,12.133920824129117,12.15295555303988,0.02792725266107943,-0.0377455288650668,0.04337983751289242,0.020444883433940752,0.06543437709780635,-0.08164246554499718,Stable,49,True
2026-01-01,states,NV,Nevada,1300226.9560257308,3.104443651482008,3.293204702234043,-0.011122371476550005,0.03370596034580667,0.02165765186166112,0.052602431534461896,0.20598690810620734,-0.0707007636385176,Stable,49,True
2026-01-01,states,AL,Alabama,1778282.0084843244,8.993427543160548,9.057974113659126,0.013763390094375523,-0.0008127137903971501,0.03513524805216863,0.03822661656073683,0.03424483953287071,-0.04850579734684188,Stable,49,True
2026-01-01,states,VA,Virginia,3244877.444544186,11.82111977112045,11.266813343203085,0.06613109135589006,-0.08976448860361107,0.06684050586535052,-0.0070466677340499245,0.08548991877701534,-0.037244692264862794,Stable,49,True
2026-01-01,states,FL,Florida,3848909.4283322296,6.576508915440292,6.595556821603292,0.013365857575852562,0.02240825970152205,0.022521288783947425,0.05079641804342693,0.01937936448826466,-0.021037247169845952,Stable,49,True
2026-01-01,states,OK,Oklahoma,1708316.177309785,5.344691578333137,4.943026801330447,0.06078142723926399,-0.04662782414447301,0.040480119822479614,-0.030766624377059876,0.13729166729285316,-0.009042565236416583,Stable,49,True
2026-01-01,states,ID,Idaho,686259.0695076609,1.7428437997580974,1.670723141431558,,,,,,0.0,Stable,49,True
2026-01-01,states,MT,Montana,549949.35611321,1.0833802081106294,0.9493088151857195,,,,,,0.0,Stable,49,True
2026-01-01,states,SD,South Dakota,437946.8542050431,1.8283007090059955,1.9366064305869777,,,,,,0.0,Stable,49,True
2026-01-01,states,WY,Wyoming,230380.390436396,0.8745511538738141,0.8593880952984035,,,,,,0.0,Stable,49,True
