date,region_id,region_name,ntl_sum,area_km2,light_density
2022-01-01,ATL,Atlanta,763883.330349803,10179.988816456855,75.03773767559723
2022-02-01,ATL,Atlanta,828619.705648005,10179.988816456855,81.39691708781328
2022-03-01,ATL,Atlanta,835500.9699355364,10179.988816456855,82.07287699421389
2022-04-01,ATL,Atlanta,794192.0571801066,10179.988816456855,78.01502256036125
2022-05-01,ATL,Atlanta,763207.9697700739,10179.988816456855,74.97139569900907
2022-06-01,ATL,Atlanta,744808.8813022375,10179.988816456855,73.16401763606929
2022-07-01,ATL,Atlanta,754291.9752163291,10179.988816456855,74.09556030129907
2022-08-01,ATL,Atlanta,738417.2873108983,10179.988816456855,72.5361589903892
2022-09-01,ATL,Atlanta,726557.8713335991,10179.988816456855,71.37118561064172
2022-10-01,ATL,Atlanta,753063.3749625087,10179.988816456855,73.97487252099089
2022-11-01,ATL,Atlanta,764299.3948358893,10179.988816456855,75.07860849516176
2022-12-01,ATL,Atlanta,848960.1897976995,10179.988816456855,83.39500220523622
2023-01-01,ATL,Atlanta,808271.6797255278,10179.988816456855,79.39809112745634
2023-02-01,ATL,Atlanta,810037.7262095809,10179.988816456855,79.57157329093359
2023-03-01,ATL,Atlanta,843728.744117856,10179.988816456855,82.88110717311336
2023-04-01,ATL,Atlanta,805520.5327244997,10179.988816456855,79.12784063399994
2023-05-01,ATL,Atlanta,794292.4052119255,10179.988816456855,78.02487994170302
2023-06-01,ATL,Atlanta,781199.0834239125,10179.988816456855,76.73869760652732
2023-07-01,ATL,Atlanta,771932.6998471618,10179.988816456855,75.82844281707501
2023-08-01,ATL,Atlanta,755992.6176837683,10179.988816456855,74.26261770166576
2023-09-01,ATL,Atlanta,768180.9775336981,10179.988816456855,75.4599038745372
2023-10-01,ATL,Atlanta,758493.3062316775,10179.988816456855,74.50826517662827
2023-11-01,ATL,Atlanta,833168.5091633201,10179.988816456855,81.84375485918308
2023-12-01,ATL,Atlanta,860580.4145337939,10179.988816456855,84.53647936651849
2024-01-01,ATL,Atlanta,871838.1163796186,10179.988816456855,85.64234520279777
2024-02-01,ATL,Atlanta,926828.85145998,10179.988816456855,91.04419151833241
2024-03-01,ATL,Atlanta,910232.34668082,10179.988816456855,89.41388473918053
2024-04-01,ATL,Atlanta,843050.5355485678,10179.988816456855,82.81448543299987
2024-05-01,ATL,Atlanta,815532.2044980526,10179.988816456855,80.11130652517737
2024-06-01,ATL,Atlanta,760212.5270979404,10179.988816456855,74.67714756906112
2024-07-01,ATL,Atlanta,803098.6485383809,10179.988816456855,78.88993426398471
2024-08-01,ATL,Atlanta,818425.2009373903,10179.988816456855,80.39549116344149
2024-09-01,ATL,Atlanta,811844.953823626,10179.988816456855,79.74910075649657
2024-10-01,ATL,Atlanta,829278.4149451256,10179.988816456855,81.46162337669011
2024-11-01,ATL,Atlanta,876563.2900719643,10179.988816456855,86.10650815793844
2024-12-01,ATL,Atlanta,957080.7504143715,10179.988816456855,94.01589409088206
2025-01-01,ATL,Atlanta,986871.7428523898,10179.988816456855,96.94232092446154
2025-02-01,ATL,Atlanta,995408.3463515043,10179.988816456855,97.78088800474303
2025-03-01,ATL,Atlanta,977225.6414102316,10179.988816456855,95.99476571432571
2025-04-01,ATL,Atlanta,939100.1140186191,10179.988816456855,92.24962138469941
2025-05-01,ATL,Atlanta,886495.438491106,10179.988816456855,87.08216231613217
2025-06-01,ATL,Atlanta,872108.3951285481,10179.988816456855,85.66889520730196
2025-07-01,ATL,Atlanta,860307.2004227042,10179.988816456855,84.5096410157093
2025-08-01,ATL,Atlanta,833669.3127942085,10179.988816456855,81.89294976891411
2025-09-01,ATL,Atlanta,872315.0103726983,10179.988816456855,85.68919142254103
2025-10-01,ATL,Atlanta,865421.0915552378,10179.988816456855,85.01198843717862
2025-11-01,ATL,Atlanta,897533.1952697635,10179.988816456855,88.16642252286383
2025-12-01,ATL,Atlanta,1006404.7148535848,10179.988816456855,98.86108256097907
2026-01-01,ATL,Atlanta,1016221.1623978615,10179.988816456855,99.82537119835042
2022-01-01,BAL,Baltimore,550987.7946901023,5268.972793991654,104.57214645678337
2022-02-01,BAL,Baltimore,409391.9762236476,5268.972793991654,77.69863163660436
2022-03-01,BAL,Baltimore,439143.6854259968,5268.972793991654,83.34521786234382
2022-04-01,BAL,Baltimore,388249.85737997293,5268.972793991654,73.68606226676751
2022-05-01,BAL,Baltimore,390866.8841353655,5268.972793991654,74.18274859590869
2022-06-01,BAL,Baltimore,394413.04412049055,5268.972793991654,74.85577541228719
2022-07-01,BAL,Baltimore,422244.74474298954,5268.972793991654,80.13796260714919
2022-08-01,BAL,Baltimore,385761.9756633043,5268.972793991654,73.21388641505204
2022-09-01,BAL,Baltimore,384064.94752061367,5268.972793991654,72.8918069113154
2022-10-01,BAL,Baltimore,379570.1834644973,5268.972793991654,72.03874423062709
2022-11-01,BAL,Baltimore,396370.77796797454,5268.972793991654,75.22733433354722
2022-12-01,BAL,Baltimore,452909.72980955243,5268.972793991654,85.957879745748
2023-01-01,BAL,Baltimore,425340.31985735893,5268.972793991654,80.72547277951132
2023-02-01,BAL,Baltimore,416174.33357170224,5268.972793991654,78.98585736602713
2023-03-01,BAL,Baltimore,412212.2820776105,5268.972793991654,78.23389836965316
