date,avg_density,avg_yoy,avg_mom,index_level
2022-01-01,111.76279427135614,,,100.0
2022-02-01,117.85549965124014,,0.026228910729020248,102.62289107290204
2022-03-01,98.69921084406157,,-0.07884773738595094,94.53130830779881
2022-04-01,98.27931275641315,,-0.016921483407421882,92.93169834278652
2022-05-01,95.27384927876646,,-0.030261339098867628,90.11946070620178
2022-06-01,92.56825586593177,,-0.004674348395549583,89.69821094964195
2022-07-01,92.62276400319226,,-0.0054305054287870705,89.21110432812743
2022-08-01,92.1443690125523,,-0.006023347907672075,88.67375480953149
2022-09-01,90.39746386813904,,-0.019135077827370013,86.97697561000598
2022-10-01,92.56912172269669,,0.02242236226585463,88.92720486592194
2022-11-01,100.30233983601929,,0.0725022064341424,95.37462343072227
2022-12-01,126.26285740742003,,0.18250864050920895,112.78131629214113
2023-01-01,115.23509593969197,0.03214525356199497,-0.046901782575592375,107.491671516818
2023-02-01,100.33094411532284,-0.04900302008126868,-0.07259974364542873,99.68780372067837
2023-03-01,116.61765005898378,0.14022456291825666,0.1125252889555997,110.90520263969681
2023-04-01,103.22125982729365,0.06181114750254944,-0.07704752743944436,102.36023099613764
2023-05-01,96.85021558230974,0.030350206592643446,-0.059205765220420904,96.29991519187227
2023-06-01,97.35450360265813,0.048361659605774286,0.011936547515131374,97.44940370526318
2023-07-01,95.87424782089276,0.036706234173106686,-0.01677231892932842,95.81495122684562
2023-08-01,94.62447571214079,0.03344541514104399,-0.009139921216137643,94.93921012130419
2023-09-01,95.45868760650075,0.06918617820771009,0.014509029982091307,96.31668596743026
2023-10-01,94.29221239140266,0.025872086228898018,-0.01815298190898229,94.56825090953036
2023-11-01,102.84941847271675,0.032026977363102616,0.07864605594515475,102.00567086119672
2023-12-01,109.36846196480262,-0.04688570490289529,0.07031488885484764,109.17818827036595
2024-01-01,107.91542248032795,-0.033023866827243606,-0.028542292915415397,106.0619924407788
2024-02-01,118.18905019855461,0.1728720745465266,0.13567052747923541,120.45147890071793
2024-03-01,111.30347143818463,0.00177907577892909,-0.03323474824294377,116.4483043239623
2024-04-01,103.76150903263624,-0.005580511276954213,-0.0811704296830135,106.99614542612797
2024-05-01,92.82509855325677,-0.04050594669869996,-0.0915645737383534,97.19908897853769
2024-06-01,91.87101539183337,-0.05030896870497318,0.0026339838594764938,97.45510981006296
2024-07-01,91.86492718335109,-0.025861640336626208,0.008218598773559686,98.25605425602507
2024-08-01,101.23110346081316,0.07070885473806278,0.09085127515246572,107.1827420766348
2024-09-01,100.12251808112161,0.04492171230655066,-0.009760400424702984,106.13659559534918
2024-10-01,101.54891295000103,0.07962884962219648,0.014363372031070697,107.66107500399649
2024-11-01,106.87568949586182,0.04923625687004728,0.04443083080607553,112.44454601189925
2024-12-01,130.7365200844417,0.16136182156572487,0.19001520451756782,133.81071941923534
2025-01-01,136.6020743687319,0.2471485302806765,0.0331457291712444,138.2459732853147
2025-02-01,135.62825461166932,0.11653398930801848,-0.023219583154935493,135.03595941278135
2025-03-01,118.33271910275417,0.06694027030586772,-0.04058360810756705,129.5557129555437
2025-04-01,116.74323249556817,0.14333692984489566,-0.015978703891287194,127.48558058080246
2025-05-01,107.64910907397572,0.17530690752119943,-0.0656573820376315,119.11521111231946
2025-06-01,108.2001955503816,0.17996398062892366,0.005855134286819989,119.81264666898501
2025-07-01,104.64938605375599,0.13152283116561433,-0.03210200928283733,115.96641997341594
2025-08-01,105.30619660017419,0.03686473827039383,-0.0013533452068488195,115.8094773747895
2025-09-01,104.04279487925328,0.03924648291886618,-0.0070244590877340364,114.99597843899842
2025-10-01,104.64655568041246,0.02471206925898772,-9.53525697955827e-05,114.9850132769381
2025-11-01,106.87974369933661,-0.00039567351072490944,0.019481928862043297,117.22514312580053
2025-12-01,143.89915509145314,0.0895610655729651,0.31738167650481536,154.43025557958404
2026-01-01,218.16481571011363,0.3523136315073523,0.29176281273627447,199.48726131906525
