date,region_id,region_name,ntl_sum,light_density,density_3m_smooth,mom_pct,yoy_pct,mom_3m_avg,yoy_3m_avg,vol_12m,trend_score,months_seen
2026-01-01,DET,Detroit,2148568.2375276685,260.9407881224608,182.60432056199065,0.2887507244171698,0.3674681521943187,0.16861720522850301,0.21635985629048748,0.11876033731441789,4.1420354960079315,49
2026-01-01,MSP,Minneapolis-St. Paul,892612.0460768938,132.29769124158165,100.40852029620414,0.30769009014391924,0.13243723584795158,0.19127341983753676,0.04112560419474388,0.147651564238767,2.9951643673123876,49
2026-01-01,BOS,Boston,631919.6645214111,123.3897792436336,85.70865094901392,0.3389411313064081,0.10122756708056978,0.14343156262846338,0.03906281773603827,0.13829586516103243,2.7665105721000263,49
2026-01-01,NYC,New York,1481383.322180599,250.54287804970005,216.55029314115578,0.17653452941206624,0.012446867648535385,0.11799469434311215,0.0012341332770830094,0.08782837700337337,1.2993824594617034,49
2026-01-01,PHL,Philadelphia,932047.4856681228,156.03252910550788,122.79601610370537,0.1860460727034992,-0.01328012761653257,0.09091992164406697,-0.027621607563411633,0.0757957539843828,1.0812311260902014,49
2026-01-01,CHI,Chicago,1987102.394533448,179.5281852022636,164.29831855762458,0.11164612134101334,0.02231677931888133,0.08960635358633355,0.04023212143207906,0.07591374203081257,0.8919080698091453,49
2026-01-01,RDU,Raleigh,365998.2579231262,48.6724203916394,45.826505074491706,0.07429008183725042,0.04167875674965238,0.07429008183725042,0.037622199171896575,0.0519563227087433,0.7402426265576341,49
2026-01-01,CLT,Charlotte,389070.7240692377,74.1697635413949,74.74420158625348,0.04716740240529889,0.059853755809050044,0.04876827606720278,0.06406626180637712,0.03637785949000561,0.5897063520278455,49
2026-01-01,ATL,Atlanta,1016221.1623978616,99.82537119835042,95.61762542739778,0.05445305962542943,0.03532803814504249,0.04339065691700891,0.04066683786606573,0.033282300852969245,0.46326808511498063,49
2026-01-01,DFW,Dallas-Fort Worth,1984692.2320085168,136.5542098562882,130.05987707941168,0.04391441307477517,0.04888417543863705,0.026013365678888064,0.043286117439956306,0.019173698571673007,0.408817319671336,49
2026-01-01,HOU,Houston,1831129.7387266755,142.32000309859495,140.94468023075032,0.020160920710126515,0.052349773384274344,0.02264827833102244,0.04918674685840496,0.014258520300793437,0.2900375940082804,49
2026-01-01,ORL,Orlando,510121.2983511984,74.62543667593204,73.98799922267955,0.01680401274939512,0.029602580404510536,0.023365096120451814,0.03958653420762427,0.018851711326964,0.1454580657150218,49
2026-01-01,SDG,San Diego,395141.2149263024,52.86372966655083,51.022677825034556,0.019110422635484636,0.03510147348297301,0.011167260779326983,0.03454533245861011,0.01832409487425249,0.1347550676000254,49
2026-01-01,BAL,Baltimore,552576.2981854975,104.87362903365428,93.4398595441,0.09774979496582042,-0.07729926468387043,0.06032420408307975,-0.004562935092703303,0.06314492376230596,0.1188643494083404,49
2026-01-01,MIA,Miami,668481.4740675427,95.42712408505612,93.74059822642921,0.029396385348123017,0.015111976681202068,0.017719943735295052,0.028639482517889784,0.01548746567824076,0.10293801144210252,49
2026-01-01,TPA,Tampa,474900.253816694,69.15471300853528,68.48591043192333,0.015356195161513755,0.025267299814471463,0.02014842760150062,0.08688853267464851,0.02249172987133211,0.09879423636218687,49
2026-01-01,SEA,Seattle,415419.7932460569,53.115116496646216,50.816347382242874,0.0430281430330626,0.0009207594921450025,0.0001567182915983035,0.0072721035844463015,0.03279271153518776,0.014580598940660433,49
2026-01-01,SFO,San Francisco Bay Area,502489.1345624812,34.20200343615825,33.92298943128366,,,,,,0.0,49
2026-01-01,SAC,Sacramento,247673.5499777496,35.597272495130866,34.643996874736814,,,,,,0.0,49
2026-01-01,LAX,Los Angeles,1416387.808302924,109.6974338295206,110.21942352934792,0.00016698825411189341,0.020613293396346495,0.00751644093611466,0.03839043445964782,0.01594545812698009,-0.06308259822671039,49
2026-01-01,RIV,Riverside-San Bernardino,781982.606538713,73.41736666954492,72.52305363278927,0.002814660466048782,0.000997911120516889,-0.002537898034585677,0.020121640318670284,0.019564531922692103,-0.2063278107094206,49
2026-01-01,STL,St. Louis,511564.90850657225,84.08670672162633,80.55105637866866,0.05025354201337312,-0.07049790010416009,0.03297395181866212,-0.03392981231010068,0.033823773071874556,-0.21101824991619875,49
2026-01-01,PHX,Phoenix,841770.7155399919,58.373087738576906,57.88032473756284,0.0036352335876638302,-0.007567862078838507,-0.004954037045406158,0.0011161789240323244,0.015027431829545886,-0.2618540959579347,49
2026-01-01,WAS,Washington,834212.5276901722,108.35646232832065,99.19279824654285,0.08302921055974341,-0.12903660876108522,0.05276409599373413,-0.02664697425941592,0.06651897125164628,-0.2877080474034134,49
2026-01-01,DEN,Denver,506010.419249773,55.39221360191789,53.18796016316671,0.05616698068383068,-0.15532946632445782,0.0466141295710534,-0.10172507993241324,0.04588370489319158,-0.6054944382995262,49
