date,avg_density,avg_yoy,avg_mom,total_ntl,total_ntl_lag_12,national_yoy_pct,index_level,dataset_name
2022-01-01,14.087890502648545,,,78950399.37331568,,,100.0,metros
2022-02-01,14.094199050702924,,0.016972118031837614,79005136.38603933,,,101.69721180318376,metros
2022-03-01,13.549995811021013,,-0.029080755943936835,71089087.6002438,,,98.73978000655651,metros
2022-04-01,12.89430111892516,,-0.02840561250036101,69002054.83396545,,,95.93501607731937,metros
2022-05-01,12.172233344335229,,-0.04000717769079515,66945128.38500309,,,92.09692684234477,metros
2022-06-01,12.060516604337874,,0.010717629200578041,67342022.61453527,,,93.08398755475378,metros
2022-07-01,11.88991662707252,,-0.013104068769359229,66021408.77202791,,,91.86420858051011,metros
2022-08-01,11.506024400606998,,-0.047137526159975136,63237410.64727134,,,87.5339570453809,metros
2022-09-01,11.108226739715088,,-0.060581365990301506,63068613.17505625,,,82.23103035703535,metros
2022-10-01,10.963381101633724,,-0.026523013070027412,64601509.3048686,,,80.05001566411389,metros
2022-11-01,11.46104043417377,,0.08246311836867543,69655811.306202,,,86.65118958123803,metros
2022-12-01,12.86903952643826,,0.17487608570873558,82558015.82618801,,,101.80441043721049,metros
2023-01-01,13.720444528214225,0.09244591229283096,0.0960035039810376,77292207.13721165,78950399.37331568,-0.02100296197696596,111.57799055990643,metros
2023-02-01,14.118624920526077,0.10803395479702996,0.03946887387108271,76391167.88373215,79005136.38603933,-0.03308605771572442,115.98184819610422,metros
2023-03-01,13.606046550333266,0.08793064564065263,-0.03987628956851289,76052038.13309877,71089087.6002438,0.06981311338194666,111.35692243274507,metros
2023-04-01,13.123383238750105,0.06404810926897883,-0.041105344194422445,70957841.51734275,69002054.83396545,0.02834389045490545,106.77955780771548,metros
2023-05-01,12.875908580700921,0.09197399217146018,-0.011615730365589905,70807645.45333289,66945128.38500309,0.05769676093705228,105.53923525566412,metros
2023-06-01,12.741005531045005,0.09120069581133995,0.01529132053013837,71490626.46326438,67342022.61453527,0.06160497840220289,107.15306953046417,metros
2023-07-01,12.749637218017776,0.1177747193318447,0.012773253812056302,69529992.01228751,66021408.77202791,0.053143113809866575,108.52176288431771,metros
2023-08-01,12.47151872619031,0.14053240069134013,-0.03169656577097322,68378431.93586695,63237410.64727134,0.0812971504679634,105.08199568947298,metros
2023-09-01,11.992432855667921,0.12279970178683594,-0.07295337609502993,67164238.94920646,63068613.17505625,0.06493920776063672,97.41590933712254,metros
2023-10-01,11.842903564903818,0.12201286786915251,-0.02839392027087715,67705065.32242753,64601509.3048686,0.04804154037504863,94.64988977428929,metros
2023-11-01,12.274296118768486,0.11396161062518181,0.07502268048179292,73711217.21849161,69655811.306202,0.058220639975928835,101.7507782124627,metros
2023-12-01,12.827185566201168,0.026216311704952176,0.06877401424476637,75324603.0691685,82558015.82618801,-0.08761611679534852,108.74858768266267,metros
2024-01-01,13.80399639807343,0.036721007272149615,0.10691699823368785,81859900.7769137,77292207.13721165,0.059096431695802566,120.37566023984597,metros
2024-02-01,13.94480913842212,-0.02149463939871223,-0.02167728448383393,77211211.64722204,76391167.88373215,0.01073479809521958,117.7662428078975,metros
2024-03-01,13.949476938055128,0.011999610207711092,-0.00838482144729564,75294962.41730107,76052038.13309877,-0.009954706466547726,116.77879388943441,metros
2024-04-01,13.137992916920359,-0.03395956856545096,-0.08001724554182929,71928341.50612384,70957841.51734275,0.013677135155582424,107.43447646470486,metros
2024-05-01,12.375543614608999,-0.08254275323532362,-0.05906064564624319,65644434.0517663,70807645.45333289,-0.07291884045162184,101.08932692003326,metros
2024-06-01,11.450860803025362,-0.17879530843209154,-0.0989611795143238,61917713.48850661,71490626.46326438,-0.13390444941305463,91.08540789171768,metros
2024-07-01,10.825372681479337,-0.24100605707974226,-0.07217878571546443,63845859.772465676,69529992.01228751,-0.08175079667515743,84.51097375369572,metros
2024-08-01,11.141284951545048,-0.184233602021166,0.05496852396042286,71041139.17940532,68378431.93586695,0.038940747369517824,89.15641723939441,metros
2024-09-01,11.64610090948833,-0.062099868142870905,0.07256326864754957,68575337.01075749,67164238.94920646,0.021009663529697548,95.6258982951896,metros
2024-10-01,12.134922119478876,0.03820407280706744,0.06839276679939056,69986236.41947798,67705065.32242753,0.03369276857184883,102.16601805727475,metros
2024-11-01,12.29261668124193,-0.020449177316344724,0.012696890014520483,73989812.83627254,73711217.21849161,0.003779555246728903,103.4632087517695,metros
2024-12-01,13.475997452222439,0.05292049868955339,0.15255393674421674,84685590.90955402,75324603.0691685,0.12427530260982048,119.24692855504064,metros
2025-01-01,14.932179066303917,0.06035892159737549,0.11043850877957931,91592905.20858915,81859900.7769137,0.11889831699405591,132.41638152120439,metros
2025-02-01,15.867072088525571,0.16373352654159037,0.07090841154118181,86817271.87007737,77211211.64722204,0.12441276361191442,141.80581679690408,metros
2025-03-01,15.463172989475568,0.12281507777704215,-0.041057781310247246,80318093.59699218,75294962.41730107,0.06671271249000457,135.9835845823358,metros
2025-04-01,14.542184556138457,0.1560354197104432,-0.05355759987896664,78278383.99725828,71928341.50612384,0.08828289875964684,128.70063016916743,metros
2025-05-01,14.038359983490132,0.23956889746332863,0.013998393270202197,78778437.33386713,65644434.0517663,0.20007794220213004,130.50223220439827,metros
2025-06-01,14.822473883045786,0.818402561891618,0.250876495360812,90437930.55244434,61917713.48850661,0.46061482986176094,163.2421748566006,metros
2025-07-01,14.87666907608779,1.1236198946468312,0.04089684371340387,78454101.83149853,63845859.772465676,0.22880484515509406,169.91826456914714,metros
2025-08-01,14.238770720959092,0.8616501859769453,-0.06254697974211343,71429594.42502403,71041139.17940532,0.005468032327546463,159.29039031732563,metros
2025-09-01,12.812242507422953,0.25074631647156415,-0.18818452702780314,71104493.75198883,68575337.01075749,0.03688143363895661,129.31440355538555,metros
2025-10-01,12.38002537749106,0.03136703526983417,-0.0903591065494459,72959776.6239169,69986236.41947798,0.04248749977947577,117.62966958614642,metros
2025-11-01,12.792531604670154,0.06380042677140374,0.06956670812113994,76498350.00969455,73989812.83627254,0.03390381834014089,125.812778476632,metros
2025-12-01,13.948796207009018,0.050028369299601395,0.11678447453535752,87694991.01586013,84685590.90955402,0.035536152891938934,140.5057577008588,metros
2026-01-01,15.470874618666715,0.03115573655382595,0.10246652998311806,94147788.98015769,91592905.20858915,0.027893904727120195,154.90289513511456,metros
