date,dataset_name,region_id,region_name,ntl_sum,area_km2,light_density,density_3m_smooth,lag_1,lag_3,lag_12,lag_1_safe,lag_12_safe,mom_pct,yoy_pct,mom_3m_avg,yoy_3m_avg,vol_12m,months_seen,mom_pct_z,yoy_pct_z,mom_3m_avg_z,trend_score
2022-01-01,metros,ATL,Atlanta,763883.330349803,10179.988816456857,75.03773767559723,75.03773767559723,,,,,,,,,,,1,,,,0.0
2022-02-01,metros,ATL,Atlanta,828619.705648005,10179.988816456857,81.39691708781328,78.21732738170525,75.03773767559723,,,75.03773767559723,,0.04237320852947359,,0.04237320852947359,,,2,0.6561080761233324,,0.9198223598366934,0.3807968948043384
2022-03-01,metros,ATL,Atlanta,835500.9699355364,10179.988816456857,82.07287699421389,79.5025105858748,78.21732738170525,,,78.21732738170525,,0.016430927100050157,,0.029402067814761873,,,3,0.22421038513999386,,0.6317479289293859,0.19361270132787534
2022-04-01,metros,ATL,Atlanta,794192.0571801066,10179.988816456857,78.01502256036125,80.49493888079614,79.5025105858748,75.03773767559723,,79.5025105858748,,0.01248298057014647,,0.02376237206655674,,,4,0.1584833597420976,,0.5064966361643716,0.1488443351555036
2022-05-01,metros,ATL,Atlanta,763207.9697700739,10179.988816456857,74.97139569900907,78.3530984178614,80.49493888079614,78.21732738170525,,80.49493888079614,,-0.026608386722382138,,0.0007685069826048295,,,5,-0.4923256802013081,,-0.004171218275450456,-0.1485319477154825
2022-06-01,metros,ATL,Atlanta,744808.8813022375,10179.988816456857,73.16401763606929,75.38347863181319,78.3530984178614,79.5025105858748,,78.3530984178614,,-0.03790047676495276,,-0.017341960972396143,,,6,-0.6803210047077617,,-0.4063843207580013,-0.2853731655639288
2022-07-01,metros,ATL,Atlanta,754291.9752163291,10179.988816456857,74.09556030129907,74.0769912121258,75.38347863181319,80.49493888079614,,75.38347863181319,,-0.01733121691118171,,-0.027280026799505534,,0.03048787165656111,7,-0.33787557020545606,,-0.6270975733878819,-0.22678218573921316
2022-08-01,metros,ATL,Atlanta,738417.2873108983,10179.988816456857,72.5361589903892,73.26524564258585,74.0769912121258,78.3530984178614,,74.0769912121258,,-0.010958133642542911,,-0.022063275772892462,,0.028047843712599226,8,-0.2317738784302767,,-0.5112394066907772,-0.17178004486723844
2022-09-01,metros,ATL,Atlanta,726557.8713335991,10179.988816456857,71.37118561064172,72.66763496744333,73.26524564258585,75.38347863181319,,73.26524564258585,,-0.008156809820277932,,-0.01214872012466752,,0.02602938882771173,9,-0.18513629592526898,,-0.2910482886635214,-0.11375054651028497
2022-10-01,metros,ATL,Atlanta,753063.3749625087,10179.988816456857,73.97487252099089,72.6274057073406,72.66763496744333,74.0769912121258,,72.66763496744333,,-0.0005536062942017813,,-0.006556183252340875,,0.024370963615828252,10,-0.05855505996410896,,-0.16684434143501145,-0.05093538627623498
2022-11-01,metros,ATL,Atlanta,764299.3948358893,10179.988816456857,75.07860849516176,73.47488887559813,72.6274057073406,73.26524564258585,,72.6274057073406,,0.011668916988065688,,0.0009861669578619919,,0.023463392031264966,11,0.14493049692350432,,0.0006627647089750751,0.043611702018846316
